TAXI (DETERMINISTIC ENVIRONMENT)
Gamma      Theta     Averge_Reward      Count
0.99      0.001          8             2059   
0.98      0.001          8             1522   
0.97      0.001          8             1026   
0.96      0.001          8             547   
0.95      0.001          8             640   
0.94      0.001          8             376   
0.93      0.001          8             450   
0.92      0.001          8             286   
0.91      0.001          8             252   
0.9      0.001          8             324   
0.99      0.0001          8             3751   
0.98      0.0001          8             1226   
0.97      0.0001          8             872   
0.96      0.0001          8             960   
0.95      0.0001          8             528   
0.94      0.0001          8             445   
0.93      0.0001          8             554   
0.92      0.0001          8             492   
0.91      0.0001          8             304   
0.9      0.0001          8             293   
0.99      0.002          8             2781   
0.98      0.002          8             953   
0.97      0.002          8             640   
0.96      0.002          9             486   
0.95      0.002          8             594   
0.94      0.002          8             346   
0.93      0.002          8             311   
0.92      0.002          8             275   
0.91      0.002          8             346   
0.9      0.002          8             231   
0.99      0.003          8             2689   
0.98      0.003          8             912   
0.97      0.003          8             926   
0.96      0.003          8             466   
0.95      0.003          8             405   
0.94      0.003          8             340   
0.93      0.003          8             297   
0.92      0.003          8             368   
0.91      0.003          8             243   
0.9      0.003          8             300   
0.99      0.004          8             2608   
0.98      0.004          8             861   
0.97      0.004          8             876   
0.96      0.004          8             455   
0.95      0.004          8             389   
0.94      0.004          8             340   
0.93      0.004          8             286   
0.92      0.004          8             255   
0.91      0.004          8             318   
0.9      0.004          8             211   
