Frozen Lake (Stochastic Environment)
Gamma      Theta     Averge_Reward      Count
0.9      0.001          0.79             43   
0.8      0.001          0.47             26   
0.7      0.001          0.33             15   
0.6      0.001          0.46             13   
0.5      0.001          0.42             14   
0.4      0.001          0.46             10   
0.3      0.001          0.43             11   
0.2      0.001          0.54             11   
0.1      0.001          0.46             9   
0.9      0.002          0.71             36   
0.8      0.002          0.34             19   
0.7      0.002          0.54             13   
0.6      0.002          0.4             13   
0.5      0.002          0.42             13   
0.4      0.002          0.5             8   
0.3      0.002          0.44             11   
0.2      0.002          0.51             7   
0.1      0.002          0.37             7   
0.9      0.003          0.81             31   
0.8      0.003          0.46             13   
0.7      0.003          0.46             13   
0.6      0.003          0.43             10   
0.5      0.003          0.46             9   
0.4      0.003          0.42             9   
0.3      0.003          0.43             8   
0.2      0.003          0.74             7   
0.1      0.003          0.5             9   
0.9      0.004          0.75             28   
0.8      0.004          0.48             14   
0.7      0.004          0.44             13   
0.6      0.004          0.54             10   
0.5      0.004          0.48             12   
0.4      0.004          0.42             9   
0.3      0.004          0.44             8   
0.2      0.004          0.43             7   
0.1      0.004          0.5             9   
0.9      0.005          0.8             20   
0.8      0.005          0.46             14   
0.7      0.005          0.39             9   
0.6      0.005          0.42             12   
0.5      0.005          0.46             12   
0.4      0.005          0.51             10   
0.3      0.005          0.37             9   
0.2      0.005          0.56             7   
0.1      0.005          0.48             7   
