GIVEN ENVIRONMENT
Gamma      Theta     Averge_Reward      Count
0.99      0.001          88             1   
0.98      0.001          88             1   
0.97      0.001          88             1   
0.96      0.001          88             1   
0.95      0.001          88             1   
0.94      0.001          88             1   
0.93      0.001          88             1   
0.92      0.001          88             1   
0.91      0.001          88             1   
0.9      0.001          88             1   
0.99      0.0001          88             1   
0.98      0.0001          88             1   
0.97      0.0001          88             1   
0.96      0.0001          88             1   
0.95      0.0001          88             1   
0.94      0.0001          88             1   
0.93      0.0001          88             1   
0.92      0.0001          88             1   
0.91      0.0001          88             1   
0.9      0.0001          88             1   
0.99      0.002          88             1   
0.98      0.002          88             1   
0.97      0.002          88             1   
0.96      0.002          88             1   
0.95      0.002          88             1   
0.94      0.002          88             1   
0.93      0.002          88             1   
0.92      0.002          88             1   
0.91      0.002          88             1   
0.9      0.002          88             1   
0.99      0.003          88             1   
0.98      0.003          88             1   
0.97      0.003          88             1   
0.96      0.003          88             1   
0.95      0.003          88             1   
0.94      0.003          88             1   
0.93      0.003          88             1   
0.92      0.003          88             1   
0.91      0.003          88             1   
0.9      0.003          88             1   
0.99      0.004          88             1   
0.98      0.004          88             1   
0.97      0.004          88             1   
0.96      0.004          88             1   
0.95      0.004          88             1   
0.94      0.004          88             1   
0.93      0.004          88             1   
0.92      0.004          88             1   
0.91      0.004          88             1   
0.9      0.004          88             1   
